model,split,time_index,rmse,relative_l2,correlation,spectral_error,energy_relative_error
fno,test,59.0,0.022480640560388565,0.8627058267593384,0.5601549102629186,0.6049784421920776,0.4064269182908683
fno,test,69.0,0.025248683989048004,0.9898034930229187,0.45333024707232983,0.6152428388595581,0.2253770292791164
fno,ood,2.0,0.01261111255735159,0.24074134230613708,0.9729080361423937,0.19973790645599365,0.4597413268361263
fno,ood,12.0,0.013362669385969639,0.44390055537223816,0.894296963576369,0.34945350885391235,0.26808746212588164
fno,ood,21.0,0.013692155480384827,0.35324832797050476,0.9356885702587399,0.28012484312057495,0.026678758934298913
fno,ood,31.0,0.018761249259114265,0.5754055976867676,0.8342268061663817,0.37943127751350403,0.20912892697192037
fno,ood,40.0,0.019054686650633812,0.6262019872665405,0.7926403419048823,0.4103226363658905,0.004047949638455068
fno,ood,50.0,0.020889997482299805,0.7356643080711365,0.7240579567104601,0.5136688351631165,0.14665043399454228
fno,ood,59.0,0.024083144962787628,0.9036556482315063,0.6005899614795783,0.5047710537910461,0.2501325872140814
fno,ood,69.0,0.02488703280687332,0.9682582020759583,0.5210944048210541,0.5408075451850891,0.29188835095607363
fno,ood,2.0,0.012393451295793056,0.2745676338672638,0.9620935156456365,0.1973169595003128,0.5778613144438504
fno,ood,12.0,0.010737789794802666,0.5802541375160217,0.8179679429191756,0.4611896276473999,0.47232512908303886
fno,ood,21.0,0.013479861430823803,0.3960813283920288,0.9195821044333706,0.312593936920166,0.15126220282734495
fno,ood,31.0,0.015390507876873016,0.4504818618297577,0.9016953470636342,0.33189496397972107,0.028252535289861897
fno,ood,40.0,0.017302263528108597,0.5386981964111328,0.8426175936968333,0.445176899433136,0.06700551672659022
fno,ood,50.0,0.018498608842492104,0.6451389193534851,0.7785010787209826,0.4190928339958191,0.028202961283451854
fno,ood,59.0,0.02091498300433159,0.6926522850990295,0.7305311750276885,0.44914257526397705,0.05937821870375096
fno,ood,69.0,0.021150613203644753,0.749011218547821,0.7068741682630153,0.41087615489959717,0.35363644765359
fno,ood,2.0,0.012975507415831089,0.20106349885463715,0.9826367431163912,0.13183456659317017,1.0144630513122233
fno,ood,12.0,0.009339191019535065,0.3148212134838104,0.9669704058675516,0.24131818115711212,0.0020211969717202037
fno,ood,21.0,0.011029093526303768,0.30826887488365173,0.9508481644557574,0.1829492598772049,0.22320634135965667
fno,ood,31.0,0.011475157923996449,0.2424011528491974,0.9702852273436178,0.17127399146556854,1.0261154016948453
fno,ood,40.0,0.012911828234791756,0.2935027778148651,0.9586492875752225,0.16449691355228424,0.6330827511242686
fno,ood,50.0,0.013918762095272541,0.3563757538795471,0.9374097763781863,0.23694339394569397,0.24540223813037126
fno,ood,59.0,0.017664162442088127,0.46590468287467957,0.8921559897313418,0.26448434591293335,0.2173760755784259
fno,ood,69.0,0.018182257190346718,0.4851148724555969,0.8830091497409572,0.34805038571357727,0.40191562956532184
fno,ood,2.0,0.015523635782301426,0.23486413061618805,0.9790571570128048,0.1565691977739334,1.2662157777069232
fno,ood,12.0,0.01216013915836811,0.34013375639915466,0.9636432327097775,0.283944696187973,0.12472223788296179
fno,ood,21.0,0.01270022988319397,0.3944700062274933,0.9242452381191214,0.300459086894989,0.36730341038122105
fno,ood,31.0,0.012953979894518852,0.2569348216056824,0.9665582329498547,0.19108130037784576,0.5598755586260228
fno,ood,40.0,0.012886823154985905,0.26090550422668457,0.9666996945181044,0.16246099770069122,0.6436940131052847
fno,ood,50.0,0.01317484863102436,0.31473734974861145,0.9537357417959245,0.21329927444458008,0.18646071940342954
fno,ood,59.0,0.015552817843854427,0.3724706768989563,0.9308937528139527,0.24613448977470398,0.22071641362035868
fno,ood,69.0,0.01801297254860401,0.4283331036567688,0.9074349167487376,0.24089139699935913,0.7723166774643778
fno,ood,2.0,0.014035341329872608,0.31903040409088135,0.9516338936820812,0.19958707690238953,1.1488808560650234
fno,ood,12.0,0.011352486908435822,0.5400177836418152,0.8685885966066055,0.365349143743515,0.027652891565406755
fno,ood,21.0,0.014225498773157597,0.4690210521221161,0.8853655687730935,0.3968735933303833,0.607207649409868
fno,ood,31.0,0.01625654473900795,0.45741620659828186,0.8982890166773195,0.2866341769695282,0.617159176057368
fno,ood,40.0,0.018583767116069794,0.5473895072937012,0.8474765685532104,0.349638968706131,0.5297260110436952
fno,ood,50.0,0.020144615322351456,0.6131008267402649,0.7959853262486355,0.41703879833221436,0.35414717460947165
fno,ood,59.0,0.020510543137788773,0.626941442489624,0.7880029830002944,0.39885878562927246,0.33305018736131153
fno,ood,69.0,0.023256845772266388,0.7056846618652344,0.7412875284098753,0.41983672976493835,0.7201497790072532
fno,ood,2.0,0.014779710210859776,0.31664592027664185,0.9524948170123383,0.19860953092575073,0.6562618409779195
fno,ood,12.0,0.0108226602897048,0.5289300084114075,0.8589729206062668,0.42209622263908386,0.31119754195285004
fno,ood,21.0,0.011539973318576813,0.3262634575366974,0.9462265908661153,0.23251226544380188,0.21562467744579572
fno,ood,31.0,0.0159841850399971,0.4419448673725128,0.9056688506844247,0.3086182773113251,0.10155234565157609
fno,ood,40.0,0.01606813818216324,0.48486557602882385,0.8779102353668036,0.3624127209186554,0.047002826950878936
fno,ood,50.0,0.019470689818263054,0.6128826141357422,0.8088885345110284,0.39485859870910645,0.14211349077397
fno,ood,59.0,0.021132001653313637,0.6811962723731995,0.7658165024886493,0.447355717420578,0.0324376877011887
fno,ood,69.0,0.023976266384124756,0.7821623682975769,0.6997101331282406,0.48032745718955994,0.22237705762350568
cnn,test,2.0,0.014967085793614388,0.228412464261055,0.9770115151842163,0.19472555816173553,3.1997578782127274
cnn,test,12.0,0.008148511871695518,0.23123757541179657,0.9774499514476408,0.1812659054994583,1.052259864854551
cnn,test,21.0,0.008945153094828129,0.26455801725387573,0.9648900589629209,0.22604113817214966,0.6384637826626739
cnn,test,31.0,0.01004037819802761,0.20073892176151276,0.984426723325907,0.17964068055152893,0.8585313237916612
cnn,test,40.0,0.00904199667274952,0.17901493608951569,0.987581359106133,0.16716569662094116,0.9273795461084341
cnn,test,50.0,0.008311220444738865,0.1743512749671936,0.9852439405420994,0.15145058929920197,1.0827000504422852
cnn,test,59.0,0.010590973310172558,0.23435541987419128,0.973164411872091,0.17151591181755066,0.9733612419643892
cnn,test,69.0,0.013631430454552174,0.31779661774635315,0.9533150798056761,0.23659135401248932,1.0422240144677757
cnn,test,2.0,0.00975235365331173,0.15586157143115997,0.9892287318332671,0.1347581148147583,3.5310733577483164
cnn,test,12.0,0.007101026363670826,0.21652372181415558,0.9776848692793982,0.16428020596504211,0.529827220564925
cnn,test,21.0,0.008995740674436092,0.271822988986969,0.9624482922920994,0.2298443615436554,0.23043880192243196
cnn,test,31.0,0.01020121295005083,0.21346260607242584,0.9769709008964657,0.18958604335784912,1.7740195112371524
cnn,test,40.0,0.007950535044074059,0.1677459329366684,0.9861963830199606,0.13969182968139648,1.7402266898559886
cnn,test,50.0,0.009007102809846401,0.20193897187709808,0.9803820977551746,0.15039151906967163,1.263585827230749
cnn,test,59.0,0.011135702021420002,0.26078835129737854,0.9690449217196647,0.2218904346227646,1.160331711128227
cnn,test,69.0,0.015150698833167553,0.36703619360923767,0.943568845126418,0.2885763645172119,1.2654440456951337
cnn,test,2.0,0.010615839622914791,0.21095538139343262,0.9814846639952647,0.17395827174186707,2.163911075952441
cnn,test,12.0,0.008072953671216965,0.3758585453033447,0.9291649614222217,0.30997708439826965,0.40238054493350345
cnn,test,21.0,0.012708161026239395,0.3729778230190277,0.9377626039842168,0.3371078372001648,0.5064625711146696
cnn,test,31.0,0.007528475485742092,0.19315356016159058,0.9826064828405874,0.15519188344478607,0.5921291973279025
cnn,test,40.0,0.013058814220130444,0.35976824164390564,0.9338398399865081,0.3176305592060089,0.4494870307510616
cnn,test,50.0,0.014144109562039375,0.4138672947883606,0.9103498293790149,0.3433339595794678,0.509808914546136
cnn,test,59.0,0.017213257029652596,0.5168258547782898,0.8605106901337509,0.41195690631866455,0.5978971547839877
cnn,test,69.0,0.02041521668434143,0.6059665083885193,0.8097964707826133,0.4580208659172058,0.8075680526000667
cnn,test,2.0,0.009453493170440197,0.1698111891746521,0.985986637388681,0.13692083954811096,2.6763492547845003
cnn,test,12.0,0.006726243067532778,0.24356795847415924,0.9700028239795465,0.18953409790992737,0.4406805671186471
cnn,test,21.0,0.010749603621661663,0.3346570134162903,0.945222691323235,0.2999759912490845,0.38395349117281774
cnn,test,31.0,0.00826743058860302,0.19002993404865265,0.9817711376286167,0.14990317821502686,1.1392547734233247
cnn,test,40.0,0.008281463757157326,0.19780854880809784,0.9801624860149537,0.1651872843503952,1.148285389530554
cnn,test,50.0,0.010045777074992657,0.2526082694530487,0.967965676599159,0.19928383827209473,0.9857093265674551
cnn,test,59.0,0.012729273177683353,0.32214412093162537,0.9473041982324858,0.2666703462600708,0.9880899571290321
cnn,test,69.0,0.01564280316233635,0.39286094903945923,0.9242616685620403,0.3140741288661957,1.103121250064701
cnn,test,2.0,0.01040023472160101,0.1883234977722168,0.9827720080678195,0.1455221325159073,2.9322793133783267
cnn,test,12.0,0.007755272090435028,0.3012946844100952,0.9566699630603678,0.22852742671966553,0.303826349507029
cnn,test,21.0,0.009962842799723148,0.2991536557674408,0.9569785360012861,0.25860702991485596,0.39858539068055887
cnn,test,31.0,0.00836346298456192,0.1941700130701065,0.9825874070613605,0.14200840890407562,1.6535765917215535
cnn,test,40.0,0.009722714312374592,0.2394133061170578,0.9717908967573482,0.17804284393787384,1.2710979694008235
cnn,test,50.0,0.011454817838966846,0.30692896246910095,0.9526069482040401,0.23460493981838226,1.0063590199260133
cnn,test,59.0,0.015636110678315163,0.43079283833503723,0.910208704349236,0.33819669485092163,1.1401471757484785
cnn,test,69.0,0.0185503289103508,0.5309999585151672,0.8740222143796545,0.3991188108921051,1.5796464518596478
cnn,test,2.0,0.01838114485144615,0.5147446990013123,0.8779606037633252,0.436452716588974,1.6460460747189578
cnn,test,12.0,0.014490935020148754,0.7943008542060852,0.6061217776198644,0.7119346857070923,0.11034305505961264
cnn,test,21.0,0.011433505453169346,0.3919154107570648,0.9259326156435912,0.31663721799850464,0.2314220150205439
cnn,test,31.0,0.018361082300543785,0.6962076425552368,0.7324456408725185,0.589708685874939,0.23906835276851676
cnn,test,40.0,0.018237613141536713,0.6935484409332275,0.7235244793378733,0.585814893245697,0.11903777578361699
cnn,test,50.0,0.020024312660098076,0.7645270824432373,0.6492818459379602,0.6192051768302917,0.23212104170352812
cnn,test,59.0,0.021608084440231323,0.8292210698127747,0.5880427264509972,0.6197574138641357,0.37266452928339805
cnn,test,69.0,0.025188425555825233,0.98744136095047,0.4414952725581081,0.6324256658554077,0.6113191819615366
cnn,ood,2.0,0.013056445866823196,0.2492426037788391,0.969693207841295,0.180303692817688,1.1513621950676578
cnn,ood,12.0,0.011896266601979733,0.3951874375343323,0.9229138656927297,0.32439151406288147,0.39943696678015134
cnn,ood,21.0,0.012417655438184738,0.32036709785461426,0.9475753549175987,0.2479414939880371,0.4181552298776098
cnn,ood,31.0,0.015289061702787876,0.4689139127731323,0.8828503200969413,0.3300693929195404,0.24715936316094686
cnn,ood,40.0,0.016674265265464783,0.5479732155799866,0.8367655551817912,0.36986446380615234,0.24260181528195512
cnn,ood,50.0,0.01973194070160389,0.6948820948600769,0.7392970403176455,0.5375872850418091,0.45173708674717483
cnn,ood,59.0,0.022210603579878807,0.8333935141563416,0.6299685258142576,0.46132591366767883,0.7009245659940616
cnn,ood,69.0,0.024356473237276077,0.9476162195205688,0.5384225950806347,0.5682101845741272,0.9352854665665725
cnn,ood,2.0,0.009810684248805046,0.2173483818769455,0.9762363079985289,0.16594743728637695,2.0181612192886873
cnn,ood,12.0,0.010804571211338043,0.5838629007339478,0.8119109359322703,0.4702105224132538,0.5067771450994788
cnn,ood,21.0,0.01216601300984621,0.35747629404067993,0.9469693659567694,0.3199247419834137,0.5211468494062776
cnn,ood,31.0,0.013584000058472157,0.39760518074035645,0.9204793039726727,0.3033094108104706,0.33312624335149604
cnn,ood,40.0,0.016498491168022156,0.5136731266975403,0.8581284840366756,0.441333144903183,0.3982509264548461
cnn,ood,50.0,0.018084311857819557,0.630690336227417,0.7849757104387247,0.43894466757774353,0.5563249692332874
cnn,ood,59.0,0.021387852728366852,0.7083125114440918,0.719075378184875,0.4614834785461426,0.6704412783538314
